BABA.K,BABA
BOX,BOX
NGVT.K,NGVT
AIT,AIT
ATCO.K,ATCO
CNX,CNX
ALLY_pa.K,ALLY$A
TARO.K,TARO
WOR,WOR
DY,DY
BMI,BMI
MYTE.K,MYTE
ASB,ASB
CWT,CWT
CIXX.K,CIXX
EPR,EPR
MED,MED
ABG,ABG
LTHM.K,LTHM
JELD.K,JELD
EAT,EAT
HGV,HGV
AEL,AEL
HTH,HTH
BFT_u,BFT.U
DHR_pa,DHR$A
USM,USM
NNI,NNI
BVN,BVN
FUL,FUL
NEE_pp,NEE$P
WD,WD
FHI,FHI
PJT,PJT
CIG,CIG
MAXR.K,MAXR
OUT,OUT
MATX.K,MATX
ELY,ELY
SWN,SWN
HP,HP
EXG,EXG
SCL,SCL
CUK,CUK
SUN,SUN
BNL,BNL
PING.K,PING
AMC,AMC
PRMW.K,PRMW
XL,XL
HYLN.K,HYLN
EVTC.K,EVTC
CBT,CBT
SAVE.K,SAVE
DOOR.K,DOOR
EAF,EAF
HMY,HMY
NSA,NSA
KFY,KFY
AVA,AVA
ESE,ESE
LENb,LEN.B
RVLV.K,RVLV
AZUL.K,AZUL
TPH,TPH
ABM,ABM
YELP.K,YELP
GPI,GPI
ITGR.K,ITGR
FLR,FLR
SUM,SUM
MIC,MIC
TEX,TEX
UTF,UTF
PEB,PEB
RCUS.K,RCUS
B,B
ATKR.K,ATKR
KW,KW
TAC,TAC
MANU.K,MANU
KAR,KAR
C_pn,C$N
AX,AX
TROX.K,TROX
CIM,CIM
WWW,WWW
SEAS.K,SEAS
CMC,CMC
IPOE.K,IPOE
SPXC.K,SPXC
MXL,MXL
SSTK.K,SSTK
BRC,BRC
DHR_pb,DHR$B
ZNH,ZNH
NUV,NUV
CLNY.K,CLNY
ENBL.K,ENBL
RRC,RRC
FUN,FUN
OIBRc.K,OIBR.C
AVAL.K,AVAL
RMO,RMO
TRQ,TRQ
KOF,KOF
CADE.K,CADE
FLOW.K,FLOW
SHO,SHO
AIN,AIN
MSGE.K,MSGE
NZF,NZF
ATI,ATI
WGO,WGO
THS,THS
FBC,FBC
